"District","FIPS","Year","High Needs Status","Variable","Measure Type","Value"
"Regional School District 14","","2014-2015","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 14","","2014-2015","High Needs","Other Count","Number","-9999"
"Regional School District 14","","2014-2015","Non-High Needs","Other Count","Number","-9999"
"Regional School District 14","","2014-2015","High Needs","Other Rate","Percent","-9999"
"Regional School District 14","","2014-2015","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 14","","2015-2016","High Needs","Total Cohort Count","Number","36"
"Regional School District 14","","2015-2016","Non-High Needs","Total Cohort Count","Number","149"
"Regional School District 14","","2015-2016","High Needs","Four Year Graduation Count","Number","-9999"
"Regional School District 14","","2015-2016","Non-High Needs","Four Year Graduation Count","Number","-9999"
"Regional School District 14","","2015-2016","High Needs","Four Year Graduation Rate","Percent","-9999"
"Regional School District 14","","2015-2016","Non-High Needs","Four Year Graduation Rate","Percent","-9999"
"Regional School District 14","","2015-2016","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 14","","2015-2016","Non-High Needs","Still Enrolled After Four Years Count","Number","0"
"Regional School District 14","","2015-2016","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 14","","2015-2016","Non-High Needs","Still Enrolled After Four Years Rate","Percent","0.0"
"Regional School District 14","","2015-2016","High Needs","Other Count","Number","0"
"Regional School District 14","","2015-2016","Non-High Needs","Other Count","Number","-9999"
"Regional School District 14","","2015-2016","High Needs","Other Rate","Percent","0.0"
"Regional School District 14","","2015-2016","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 15","","2010-2011","High Needs","Total Cohort Count","Number","55"
"Regional School District 15","","2010-2011","Non-High Needs","Total Cohort Count","Number","335"
"Regional School District 15","","2010-2011","High Needs","Four Year Graduation Count","Number","41"
"Regional School District 15","","2010-2011","Non-High Needs","Four Year Graduation Count","Number","316"
"Regional School District 15","","2010-2011","High Needs","Four Year Graduation Rate","Percent","74.5"
"Regional School District 15","","2010-2011","Non-High Needs","Four Year Graduation Rate","Percent","94.3"
"Regional School District 15","","2010-2011","High Needs","Still Enrolled After Four Years Count","Number","8"
"Regional School District 15","","2010-2011","Non-High Needs","Still Enrolled After Four Years Count","Number","8"
"Regional School District 15","","2010-2011","High Needs","Still Enrolled After Four Years Rate","Percent","14.5"
"Regional School District 15","","2010-2011","Non-High Needs","Still Enrolled After Four Years Rate","Percent","2.4"
"Regional School District 15","","2010-2011","High Needs","Other Count","Number","-9999"
"Regional School District 15","","2010-2011","Non-High Needs","Other Count","Number","-9999"
"Regional School District 15","","2010-2011","High Needs","Other Rate","Percent","-9999"
"Regional School District 15","","2010-2011","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 15","","2011-2012","High Needs","Total Cohort Count","Number","64"
"Regional School District 15","","2011-2012","Non-High Needs","Total Cohort Count","Number","265"
"Regional School District 15","","2011-2012","High Needs","Four Year Graduation Count","Number","51"
"Regional School District 15","","2011-2012","Non-High Needs","Four Year Graduation Count","Number","257"
"Regional School District 15","","2011-2012","High Needs","Four Year Graduation Rate","Percent","79.7"
"Regional School District 15","","2011-2012","Non-High Needs","Four Year Graduation Rate","Percent","97.0"
"Regional School District 15","","2011-2012","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 15","","2011-2012","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 15","","2011-2012","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 15","","2011-2012","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 15","","2011-2012","High Needs","Other Count","Number","-9999"
"Regional School District 15","","2011-2012","Non-High Needs","Other Count","Number","-9999"
"Regional School District 15","","2011-2012","High Needs","Other Rate","Percent","-9999"
"Regional School District 15","","2011-2012","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 15","","2012-2013","High Needs","Total Cohort Count","Number","65"
"Regional School District 15","","2012-2013","Non-High Needs","Total Cohort Count","Number","255"
"Regional School District 15","","2012-2013","High Needs","Four Year Graduation Count","Number","55"
"Regional School District 15","","2012-2013","Non-High Needs","Four Year Graduation Count","Number","247"
"Regional School District 15","","2012-2013","High Needs","Four Year Graduation Rate","Percent","84.6"
"Regional School District 15","","2012-2013","Non-High Needs","Four Year Graduation Rate","Percent","96.9"
"Regional School District 15","","2012-2013","High Needs","Still Enrolled After Four Years Count","Number","7"
"Regional School District 15","","2012-2013","Non-High Needs","Still Enrolled After Four Years Count","Number","6"
"Regional School District 15","","2012-2013","High Needs","Still Enrolled After Four Years Rate","Percent","10.8"
"Regional School District 15","","2012-2013","Non-High Needs","Still Enrolled After Four Years Rate","Percent","2.4"
"Regional School District 15","","2012-2013","High Needs","Other Count","Number","-9999"
"Regional School District 15","","2012-2013","Non-High Needs","Other Count","Number","-9999"
"Regional School District 15","","2012-2013","High Needs","Other Rate","Percent","-9999"
"Regional School District 15","","2012-2013","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 15","","2013-2014","High Needs","Total Cohort Count","Number","67"
"Regional School District 15","","2013-2014","Non-High Needs","Total Cohort Count","Number","262"
"Regional School District 15","","2013-2014","High Needs","Four Year Graduation Count","Number","59"
"Regional School District 15","","2013-2014","Non-High Needs","Four Year Graduation Count","Number","259"
"Regional School District 15","","2013-2014","High Needs","Four Year Graduation Rate","Percent","88.1"
"Regional School District 15","","2013-2014","Non-High Needs","Four Year Graduation Rate","Percent","98.9"
"Regional School District 15","","2013-2014","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 15","","2013-2014","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 15","","2013-2014","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 15","","2013-2014","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 15","","2013-2014","High Needs","Other Count","Number","-9999"
"Regional School District 15","","2013-2014","Non-High Needs","Other Count","Number","-9999"
"Regional School District 15","","2013-2014","High Needs","Other Rate","Percent","-9999"
"Regional School District 15","","2013-2014","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 15","","2014-2015","High Needs","Total Cohort Count","Number","51"
"Regional School District 15","","2014-2015","Non-High Needs","Total Cohort Count","Number","242"
"Regional School District 15","","2014-2015","High Needs","Four Year Graduation Count","Number","41"
"Regional School District 15","","2014-2015","Non-High Needs","Four Year Graduation Count","Number","237"
"Regional School District 15","","2014-2015","High Needs","Four Year Graduation Rate","Percent","80.4"
"Regional School District 15","","2014-2015","Non-High Needs","Four Year Graduation Rate","Percent","97.9"
"Regional School District 15","","2014-2015","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 15","","2014-2015","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 15","","2014-2015","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 15","","2014-2015","Non-High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
"Regional School District 15","","2014-2015","High Needs","Other Count","Number","-9999"
"Regional School District 15","","2014-2015","Non-High Needs","Other Count","Number","-9999"
"Regional School District 15","","2014-2015","High Needs","Other Rate","Percent","-9999"
"Regional School District 15","","2014-2015","Non-High Needs","Other Rate","Percent","-9999"
"Regional School District 15","","2015-2016","High Needs","Total Cohort Count","Number","66"
"Regional School District 15","","2015-2016","Non-High Needs","Total Cohort Count","Number","223"
"Regional School District 15","","2015-2016","High Needs","Four Year Graduation Count","Number","-9999"
"Regional School District 15","","2015-2016","Non-High Needs","Four Year Graduation Count","Number","-9999"
"Regional School District 15","","2015-2016","High Needs","Four Year Graduation Rate","Percent","-9999"
"Regional School District 15","","2015-2016","Non-High Needs","Four Year Graduation Rate","Percent","-9999"
"Regional School District 15","","2015-2016","High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 15","","2015-2016","Non-High Needs","Still Enrolled After Four Years Count","Number","-9999"
"Regional School District 15","","2015-2016","High Needs","Still Enrolled After Four Years Rate","Percent","-9999"
